xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
387	12.5	2.23205080756888	21.5	0.5
388	12	3.09807621135332	21.5	0.5
389	12.5	3.96410161513775	21.5	0.5
390	12	4.83012701892219	21.5	0.5
391	12.5	5.69615242270663	21.5	0.5
392	12	6.56217782649107	21.5	0.5
393	12.5	7.42820323027551	21.5	0.5
394	12	8.29422863405995	21.5	0.5
395	12.5	9.16025403784439	21.5	0.5
396	12	10.0262794416288	21.5	0.5
397	13.5	0.5	21.5	0.5
398	13	1.36602540378444	21.5	0.5
399	13.5	2.23205080756888	21.5	0.5
400	13	3.09807621135332	21.5	0.5
401	13.5	3.96410161513775	21.5	0.5
402	13	4.83012701892219	21.5	0.5
403	13.5	5.69615242270663	21.5	0.5
404	13	6.56217782649107	21.5	0.5
405	13.5	7.42820323027551	21.5	0.5
406	13	8.29422863405995	21.5	0.5
407	13.5	9.16025403784439	21.5	0.5
408	13	10.0262794416288	21.5	0.5
409	14.5	0.5	21.5	0.5
410	14	1.36602540378444	21.5	0.5
411	14.5	2.23205080756888	21.5	0.5
412	14	3.09807621135332	21.5	0.5
413	14.5	3.96410161513775	21.5	0.5
414	14	4.83012701892219	21.5	0.5
415	14.5	5.69615242270663	21.5	0.5
416	14	6.56217782649107	21.5	0.5
417	14.5	7.42820323027551	21.5	0.5
418	14	8.29422863405995	21.5	0.5
419	14.5	9.16025403784439	21.5	0.5
420	14	10.0262794416288	21.5	0.5
421	15.5	0.5	21.5	0.5
422	15	1.36602540378444	21.5	0.5
423	15.5	2.23205080756888	21.5	0.5
424	15	3.09807621135332	21.5	0.5
425	15.5	3.96410161513775	21.5	0.5
426	15	4.83012701892219	21.5	0.5
427	15.5	5.69615242270663	21.5	0.5
428	15	6.56217782649107	21.5	0.5
429	15.5	7.42820323027551	21.5	0.5
430	15	8.29422863405995	21.5	0.5
431	15.5	9.16025403784439	21.5	0.5
432	15	10.0262794416288	21.5	0.5
433	16.5	0.5	21.5	0.5
434	16	1.36602540378444	21.5	0.5
435	16.5	2.23205080756888	21.5	0.5
436	16	3.09807621135332	21.5	0.5
437	16.5	3.96410161513775	21.5	0.5
438	16	4.83012701892219	21.5	0.5
439	16.5	5.69615242270663	21.5	0.5
440	16	6.56217782649107	21.5	0.5
441	16.5	7.42820323027551	21.5	0.5
442	16	8.29422863405995	21.5	0.5
443	16.5	9.16025403784439	21.5	0.5
444	16	10.0262794416288	21.5	0.5
445	17.5	0.5	21.5	0.5
446	17	1.36602540378444	21.5	0.5
447	17.5	2.23205080756888	21.5	0.5
448	17	3.09807621135332	21.5	0.5
449	17.5	3.96410161513775	21.5	0.5
450	17	4.83012701892219	21.5	0.5
451	17.5	5.69615242270663	21.5	0.5
452	17	6.56217782649107	21.5	0.5
453	17.5	7.42820323027551	21.5	0.5
454	17	8.29422863405995	21.5	0.5
455	17.5	9.16025403784439	21.5	0.5
456	17	10.0262794416288	21.5	0.5
457	18.5	0.5	21.5	0.5
458	18	1.36602540378444	21.5	0.5
459	18.5	2.23205080756888	21.5	0.5
460	18	3.09807621135332	21.5	0.5
461	18.5	3.96410161513775	21.5	0.5
462	18	4.83012701892219	21.5	0.5
463	18.5	5.69615242270663	21.5	0.5
464	18	6.56217782649107	21.5	0.5
465	18.5	7.42820323027551	21.5	0.5
466	18	8.29422863405995	21.5	0.5
467	18.5	9.16025403784439	21.5	0.5
468	18	10.0262794416288	21.5	0.5
469	19.5	0.5	21.5	0.5
470	19	1.36602540378444	21.5	0.5
471	19.5	2.23205080756888	21.5	0.5
472	19	3.09807621135332	21.5	0.5
473	19.5	3.96410161513775	21.5	0.5
474	19	4.83012701892219	21.5	0.5
475	19.5	5.69615242270663	21.5	0.5
476	19	6.56217782649107	21.5	0.5
477	19.5	7.42820323027551	21.5	0.5
478	19	8.29422863405995	21.5	0.5
479	19.5	9.16025403784439	21.5	0.5
480	19	10.0262794416288	21.5	0.5
481	11.619778762572	3.29823237046984	8.88394086305707	0.5
